date,close,open,high,low,volume,change
2021/3/5,29098.29 ,28667.14 ,29397.27 ,28513.13 ,4000000000,-0.47%
2021/3/4,29236.79 ,29525.48 ,29597.16 ,29102.10 ,2960000000,-2.15%
2021/3/3,29880.42 ,29249.43 ,29912.00 ,29183.59 ,3230000000,2.70%
2021/3/2,29095.86 ,29708.39 ,29765.96 ,28957.31 ,2900000000,-1.21%
2021/3/1,29452.57 ,29457.89 ,29550.75 ,29195.97 ,2630000000,1.63%
2021/2/26,28980.21 ,29412.13 ,29579.67 ,28980.21 ,4130000000,-3.64%
2021/2/25,30074.17 ,30174.22 ,30453.12 ,29833.05 ,3660000000,1.20%
2021/2/24,29718.24 ,30702.65 ,30792.88 ,29532.68 ,4850000000,-2.99%
2021/2/23,30632.64 ,30189.97 ,30948.47 ,30126.40 ,4610000000,1.03%
2021/2/22,30319.83 ,31071.61 ,31071.61 ,30298.58 ,4450000000,-1.06%
2021/2/19,30644.73 ,30483.46 ,30720.15 ,30099.71 ,3320000000,0.16%
2021/2/18,30595.27 ,31183.36 ,31183.36 ,30570.55 ,3690000000,-1.58%
2021/2/17,31084.94 ,30636.37 ,31168.30 ,30503.46 ,3140000000,1.10%
2021/2/16,30746.66 ,30675.82 ,30793.48 ,30497.40 ,3270000000,1.90%
2021/2/11,30173.57 ,29995.28 ,30184.17 ,29828.62 ,1190000000,0.45%
2021/2/10,30038.72 ,29796.19 ,30075.50 ,29732.23 ,2000000000,1.91%
2021/2/9,29476.19 ,29442.50 ,29527.67 ,29263.98 ,1850000000,0.53%
2021/2/8,29319.47 ,29629.08 ,29706.08 ,29293.64 ,2200000000,0.11%
2021/2/5,29288.68 ,29305.09 ,29495.64 ,29184.09 ,2680000000,0.60%
2021/2/4,29113.50 ,29093.54 ,29409.00 ,28775.38 ,3030000000,-0.66%
2021/2/3,29307.46 ,29305.41 ,29312.00 ,28967.01 ,2680000000,0.20%
2021/2/2,29248.70 ,29378.12 ,29511.00 ,29198.86 ,2740000000,1.23%
2021/2/1,28892.86 ,28457.85 ,28982.77 ,28382.26 ,2460000000,2.15%
2021/1/29,28283.71 ,28826.18 ,28972.06 ,28259.73 ,3200000000,-0.94%
2021/1/28,28550.77 ,28914.85 ,29191.68 ,28467.01 ,2990000000,-2.55%
2021/1/27,29297.53 ,29556.58 ,29636.63 ,29194.37 ,3810000000,-0.32%
2021/1/26,29391.26 ,29892.85 ,29965.11 ,29345.74 ,4810000000,-2.55%
2021/1/25,30159.01 ,29677.30 ,30191.16 ,29673.26 ,3070000000,2.41%
